Restaurant Name,City,Place Name,Cuisine ,Dining Rating,Delivery Rating,Overall Rating,Dining Votes,Delivery Votes,Average Price,Menu Items,Features
Big Fat Momo,Kochi,Kacheripady,Fast Food,4.3,4.1,4.199999999999999,426,0,141.49242424242425,132,big fat momo fast food kochi kacheripady
Biggies Burger,Pune,FC Road,Desserts,4.0,4.2,4.1,102,487,194.65217391304347,92,biggies burger desserts pune fc road
Bikkgane Biryani,Pune,Kothrud,Mughlai,3.8,3.8,3.8,0,0,344.8333333333333,120,bikkgane biryani mughlai pune kothrud
Biriyani Bash,Kochi,Vyttila,Biryani,3.6,3.1,3.35,7,870,184.11764705882354,34,biriyani bash biryani kochi vyttila
Biryani By Kilo,Mumbai,Khar,Kebab,4.2,4.2,4.2,0,0,425.2592753623188,69,biryani by kilo kebab mumbai khar
Biryani Hub,Goa,Porvorim,Desserts,3.911782786885246,3.911782786885246,3.911782786885246,0,0,375.5,20,biryani hub desserts goa porvorim
Bismillah Briyani & Fast Foods,Chennai,Kolathur,Sichuan,3.9,3.8,3.8499999999999996,176,0,206.0863309352518,139,bismillah briyani & fast foods sichuan chennai kolathur
Blue Nile,Pune,Camp Area,Beverages,3.6,4.1,3.8499999999999996,0,0,265.4810996563574,291,blue nile beverages pune camp area
Blue Sea Restaurant,Hyderabad,Basheer Bagh,North Indian,4.1,4.1,4.1,2,940,210.54794520547946,146,blue sea restaurant north indian hyderabad basheer bagh
Blue Sea Tea & Bakery,Hyderabad,Abids,Bakery,3.911782786885246,3.911782786885246,3.911782786885246,0,0,158.0,35,blue sea tea & bakery bakery hyderabad abids
Blue Tokai Coffee Roasters,Mumbai,Mahalaxmi,Desserts,4.3,4.1,4.199999999999999,265,0,296.20679425837324,209,blue tokai coffee roasters desserts mumbai mahalaxmi
Boojee Cafe,Mumbai,Carter Road,Desserts,4.5,4.3,4.4,319,0,355.5900621118012,161,boojee cafe desserts mumbai carter road
Brown Sugar,Jaipur,Axis Mall,Beverages,4.1,4.2,4.15,0,0,231.70496402877697,139,brown sugar beverages jaipur axis mall
BrownBear,Hyderabad,Himayath Nagar,Fast Food,3.6,4.0,3.8,239,0,449.09090909090907,22,brownbear fast food hyderabad himayath nagar
Buhari Special Juice,Kochi,Palarivattom,Beverages,4.0,4.3,4.15,74,0,85.21739130434783,23,buhari special juice beverages kochi palarivattom
Buhari Vintage Hotel,Chennai,Kilpauk,Beverages,3.5,4.1,3.8,101,0,299.0983606557377,183,buhari vintage hotel beverages chennai kilpauk
Burger - Since 1989,Pune,Koregaon Park,Fast Food,4.0,4.3,4.15,0,0,90.0,20,burger - since 1989 fast food pune koregaon park
Burger King,Hyderabad,The Next Galleria Mall,"Beverages, Fast Food",4.1,4.1,4.1,747,0,272.23372013651874,293,"burger king beverages, fast food hyderabad the next galleria mall"
Burger Lane,Jaipur,Raja Park,Fast Food,3.5,3.5,3.5,0,343,121.24880952380951,42,burger lane fast food jaipur raja park
Burger Shack,Jaipur,C Scheme,Beverages,3.9,4.2,4.05,78,0,126.53488372093024,43,burger shack beverages jaipur c scheme
Burger Singh - Big Punjabi Burgers,Jaipur,Raja Park,Fast Food,3.8,4.2,4.0,11,210,222.1262162162162,111,burger singh - big punjabi burgers fast food jaipur raja park
Burger Spot,Kochi,GCDA Shopping Complex,Beverages,3.9,3.8,3.8499999999999996,7,801,306.1034482758621,87,burger spot beverages kochi gcda shopping complex
BurgerMan,Chennai,Egmore,Beverages,4.4,4.3,4.35,56,921,257.0,87,burgerman beverages chennai egmore
Burgeria,Kochi,Kaloor,Beverages,4.0,4.3,4.15,29,0,231.0,38,burgeria beverages kochi kaloor
Burgerino,Pune,Camp Area,Burger,3.5,3.5,3.5,0,234,179.57407407407408,54,burgerino burger pune camp area
Burgs & Fries,Jaipur,Raja Park,Beverages,3.9,3.9,3.9,0,0,278.2312121212121,66,burgs & fries beverages jaipur raja park
CEE YEM Bakers,Kochi,Palluruthy,Mandi,2.7,3.6,3.1500000000000004,6,845,119.86585365853658,82,cee yem bakers mandi kochi palluruthy
Cafe 17,Kochi,Ravipuram,Beverages,4.6,4.1,4.35,259,0,268.90909090909093,165,cafe 17 beverages kochi ravipuram
Cafe 555 & Aqeeq Restaurant,Hyderabad,Masab Tank,Desserts,4.2,4.1,4.15,0,0,215.43129770992365,262,cafe 555 & aqeeq restaurant desserts hyderabad masab tank
Cafe Amin,Chennai,Royapettah,Beverages,4.1,4.2,4.15,260,0,204.12844036697248,109,cafe amin beverages chennai royapettah
Cafe Ave Maria,Goa,Panaji,Bakery,3.9,3.9,3.9,0,807,176.9277108433735,83,cafe ave maria bakery goa panaji
Cafe Central,Goa,Penha de Franca,Street Food,3.9,4.0,3.95,15,31,114.08809523809524,21,cafe central street food goa penha de franca
Cafe Cilantro,Goa,Porvorim,Maharashtrian,3.7,3.7,3.7,0,250,244.22222222222223,45,cafe cilantro maharashtrian goa porvorim
Cafe Cup Of Joy,Goa,Candolim,Street Food,3.911782786885246,3.911782786885246,3.911782786885246,0,4,131.25,16,cafe cup of joy street food goa candolim
Cafe Durbar AFC,Kochi,Pallimukku,Beverages,3.8,3.7,3.75,36,0,212.48823529411766,68,cafe durbar afc beverages kochi pallimukku
Cafe Feed Me More,Goa,Saligao,Fast Food,3.911782786885246,3.911782786885246,3.911782786885246,0,1,112.57575757575758,33,cafe feed me more fast food goa saligao
Cafe Niloufer,Hyderabad,Himayath Nagar,Beverages,4.3,4.4,4.35,338,0,230.8372277227723,202,cafe niloufer beverages hyderabad himayath nagar
Cafe Rasa,Goa,Panaji,Sandwich,3.9,3.9,3.9,16,0,298.3333333333333,30,cafe rasa sandwich goa panaji
Cake Destination,Goa,Porvorim,Desserts,3.911782786885246,3.911782786885246,3.911782786885246,0,0,122.3076923076923,13,cake destination desserts goa porvorim
Cake Hut,Jaipur,Sodala,Desserts,3.8,3.8,3.8,0,407,819.2105263157895,38,cake hut desserts jaipur sodala
CakeZone,Hyderabad,Himayath Nagar,Desserts,4.2,4.2,4.2,0,0,425.5766871165644,163,cakezone desserts hyderabad himayath nagar
Calicut Notebook,Kochi,Kaloor,Biryani,3.9,4.0,3.95,121,0,248.06451612903226,124,calicut notebook biryani kochi kaloor
California Burrito,Hyderabad,Boiguda,Beverages,4.2,4.3,4.25,221,0,211.66727272727275,88,california burrito beverages hyderabad boiguda
Capital Multi Cuisine Restaurant,Hyderabad,Malakpet,"Beverages, Mughlai",4.2,3.9,4.05,32,428,342.30737704918033,488,"capital multi cuisine restaurant beverages, mughlai hyderabad malakpet"
Captain Chick,Jaipur,Jhotwara,Fast Food,3.0,4.2,3.6,9,844,190.51020408163265,49,captain chick fast food jaipur jhotwara
Captain Kunafa,Hyderabad,Malakpet,Turkish,4.1,4.1,4.1,208,699,244.0909090909091,22,captain kunafa turkish hyderabad malakpet
Casa Blanca,Mumbai,Byculla,Continental,3.6,3.6,3.6,0,0,358.02443064182194,483,casa blanca continental mumbai byculla
Ceylon Bake House,Kochi,Marine Drive,Rolls,4.0,3.7,3.85,415,0,267.5056179775281,267,ceylon bake house rolls kochi marine drive
Chaayos Chai+Snacks=Relax,Pune,Camp Area,Beverages,3.8,3.8,3.8,0,247,278.0098290598291,117,chaayos chai+snacks=relax beverages pune camp area
Chaitanya,Mumbai,Dadar West,Beverages,4.5,4.4,4.45,0,0,212.45762711864407,59,chaitanya beverages mumbai dadar west
Charcoal Eats - Biryani & Beyond,Mumbai,Dadar East,Rolls,4.1,4.1,4.1,0,0,510.9528571428571,98,charcoal eats - biryani & beyond rolls mumbai dadar east
Chawla's Restaurant,Jaipur,C Scheme,Chinese,4.1,4.0,4.05,411,0,358.52073732718895,217,chawla's restaurant chinese jaipur c scheme
Cheelizza - India Ka Pizza,Mumbai,Worli,Fast Food,3.9,3.9,3.9,0,333,327.24022346368713,179,cheelizza - india ka pizza fast food mumbai worli
Chicking,Chennai,Nungambakkam,Fast Food,3.3,4.0,3.65,151,0,373.2758620689655,58,chicking fast food chennai nungambakkam
Chidambaram New Moorthy Cafe,Chennai,Anna Nagar West,Beverages,4.3,4.1,4.199999999999999,246,0,246.61570247933884,242,chidambaram new moorthy cafe beverages chennai anna nagar west
Chill Out,Pune,Bibvewadi,Beverages,3.7,4.3,4.0,32,0,111.96428571428571,84,chill out beverages pune bibvewadi
Chinese Wok,Bangalore,Malleshwaram,Chinese,3.3,4.0,3.65,2,593,276.1975308641975,162,chinese wok chinese bangalore malleshwaram
Chitale Xpress,Mumbai,Prabhadevi,Beverages,4.3,4.3,4.3,0,108,108.71028037383178,107,chitale xpress beverages mumbai prabhadevi
Choice Only Veg,Pune,Fatima Nagar,Chinese,4.1,4.2,4.15,148,0,152.4673913043478,184,choice only veg chinese pune fatima nagar
Chops 'N' Woks,Jaipur,Raja Park,Beverages,3.911782786885246,3.911782786885246,3.911782786885246,0,0,240.0,82,chops 'n' woks beverages jaipur raja park
Chote Nawab,Mumbai,Chembur,Sichuan,4.0,3.6,3.8,668,0,260.99652777777777,288,chote nawab sichuan mumbai chembur
Chotu's The Food People,Hyderabad,Ghansi Bazaar,Biryani,3.7,3.7,3.7,64,0,107.47328244274809,131,chotu's the food people biryani hyderabad ghansi bazaar
Choudhary Dhaba,Jaipur,Khatipura Road,Chinese,3.4,3.9,3.65,427,0,139.45077720207254,193,choudhary dhaba chinese jaipur khatipura road
Coffee Cream,Hyderabad,Ghansi Bazaar,Chinese,3.2,4.0,3.6,42,0,166.63636363636363,88,coffee cream chinese hyderabad ghansi bazaar
Copper Chocs,Pune,MG Road,Desserts,3.4,4.1,3.75,34,148,463.07428571428574,7,copper chocs desserts pune mg road
Courtallam Border Rahmath Kadai,Chennai,T. Nagar,Biryani,4.0,4.0,4.0,904,0,235.74468085106383,94,courtallam border rahmath kadai biryani chennai t. nagar
Cream Craver,Pune,Camp Area,Beverages,4.1,4.2,4.15,0,0,202.41517786561266,253,cream craver beverages pune camp area
Cream Stone Ice Cream,Hyderabad,Begum Bazaar,Desserts,4.1,4.3,4.199999999999999,133,0,248.61176470588236,85,cream stone ice cream desserts hyderabad begum bazaar
Crystal Restaurant & Bar,Hyderabad,Nallakunta,Biryani,4.2,3.9,4.05,697,0,294.7029702970297,202,crystal restaurant & bar biryani hyderabad nallakunta
Cups & Cones,Kochi,Vyttila,Beverages,4.1,4.0,4.05,70,0,175.984,125,cups & cones beverages kochi vyttila
Dadar Social,Mumbai,Dadar West,Beverages,4.3,4.0,4.15,244,193,354.5348837209302,86,dadar social beverages mumbai dadar west
Delhi Dhaba,Chennai,Gopalapuram,Beverages,3.0,3.8,3.4,6,23,283.65546218487395,119,delhi dhaba beverages chennai gopalapuram
Delhi Zaika,Mumbai,Mahim,Beverages,3.8,3.6,3.7,327,0,430.41515151515154,330,delhi zaika beverages mumbai mahim
Dimsum Momo Express,Mumbai,Chembur,Chinese,3.9,3.8,3.8499999999999996,0,3,222.66145833333334,192,dimsum momo express chinese mumbai chembur
Dindigul Thalappakatti,Kochi,Panampilly Nagar,Beverages,4.0,4.0,4.0,1,0,334.9170833333334,120,dindigul thalappakatti beverages kochi panampilly nagar
Dindigul Veetu Kalyanam,Chennai,Egmore,Biryani,3.5,3.5,3.5,0,601,195.57575757575756,33,dindigul veetu kalyanam biryani chennai egmore
Dine Hill,Hyderabad,Masab Tank,Chinese,4.1,3.9,4.0,0,0,309.8490566037736,106,dine hill chinese hyderabad masab tank
Dip N Bite,Jaipur,Tonk Phatak,Beverages,3.6,3.9,3.75,9,361,136.51785714285714,56,dip n bite beverages jaipur tonk phatak
Domino's Pizza,Bangalore,MG Road,"Desserts, Fast Food",3.5,4.2,3.85,86,0,304.8872300469484,213,"domino's pizza desserts, fast food bangalore mg road"
Doner King,Hyderabad,Malakpet,Fast Food,3.9,4.2,4.05,39,0,165.11428571428573,35,doner king fast food hyderabad malakpet
Donut Factory,Kochi,Panampilly Nagar,Beverages,3.9,4.1,4.0,381,0,236.20437956204378,137,donut factory beverages kochi panampilly nagar
Down Town Restaurant & Cafeteria,Hyderabad,Masab Tank,Beverages,3.911782786885246,3.911782786885246,3.911782786885246,0,0,160.9090909090909,11,down town restaurant & cafeteria beverages hyderabad masab tank
Dream Cutlets,Kochi,Fort Kochi,Fast Food,4.6,4.6,4.6,0,449,52.81818181818182,22,dream cutlets fast food kochi fort kochi
Dum Safar Biryani,Mumbai,Dadar Shivaji Park,Desserts,3.9,3.9,3.9,0,79,694.0333333333333,60,dum safar biryani desserts mumbai dadar shivaji park
EatFit,Chennai,Aminijikarai,Beverages,4.1,4.1,4.1,0,0,227.5810276679842,253,eatfit beverages chennai aminijikarai
Eating Circles,Chennai,Alwarpet,South Indian,4.6,4.1,4.35,875,0,153.0,60,eating circles south indian chennai alwarpet
Empire Plaza,Kochi,Marad,South Indian,3.3,3.6,3.45,69,0,221.21559633027522,218,empire plaza south indian kochi marad
Evoke,Goa,Candolim,Thai,3.911782786885246,3.911782786885246,3.911782786885246,0,0,336.5,4,evoke thai goa candolim
